manufacturer,model,serial_number,fault_time,tag,key
A,1,disk_103876,2018-08-29,4,1disk_103876
A,1,disk_105222,2018-08-19,0,1disk_105222
A,1,disk_107094,2018-08-09,3,1disk_107094
A,1,disk_115606,2018-08-05,0,1disk_115606
A,1,disk_129294,2018-08-04,1,1disk_129294
A,1,disk_131238,2018-08-13,4,1disk_131238
A,1,disk_136632,2018-08-31,6,1disk_136632
A,1,disk_138917,2018-08-19,0,1disk_138917
A,1,disk_140248,2018-08-23,0,1disk_140248
A,1,disk_141171,2018-08-09,1,1disk_141171
A,1,disk_145693,2018-08-31,1,1disk_145693
A,1,disk_14969,2018-08-06,0,1disk_14969
A,1,disk_33031,2018-08-01,1,1disk_33031
A,1,disk_35429,2018-08-19,6,1disk_35429
A,1,disk_41407,2018-08-29,0,1disk_41407
A,1,disk_50466,2018-08-26,0,1disk_50466
A,1,disk_52300,2018-08-31,0,1disk_52300
A,1,disk_62253,2018-08-03,2,1disk_62253
A,1,disk_9842,2018-08-15,6,1disk_9842
A,2,disk_11027,2018-08-10,4,2disk_11027
A,2,disk_11336,2018-08-22,0,2disk_11336
A,2,disk_126531,2018-08-08,4,2disk_126531
A,2,disk_137818,2018-08-13,1,2disk_137818
A,2,disk_13998,2018-08-10,0,2disk_13998
A,2,disk_25186,2018-08-17,0,2disk_25186
A,2,disk_257,2018-08-01,2,2disk_257
A,2,disk_28197,2018-08-27,1,2disk_28197
A,2,disk_31407,2018-08-22,0,2disk_31407
A,2,disk_47559,2018-08-16,2,2disk_47559
A,2,disk_68020,2018-08-18,1,2disk_68020
A,2,disk_73939,2018-08-04,2,2disk_73939
A,2,disk_80368,2018-08-13,0,2disk_80368
A,1,disk_100496,2018-08-08,1,1disk_100496
A,1,disk_113616,2018-08-30,2,1disk_113616
A,1,disk_114819,2018-08-01,6,1disk_114819
A,1,disk_123303,2018-08-04,3,1disk_123303
A,1,disk_123817,2018-08-30,1,1disk_123817
A,1,disk_125948,2018-08-16,3,1disk_125948
A,1,disk_128644,2018-08-08,0,1disk_128644
A,1,disk_140694,2018-08-03,3,1disk_140694
A,1,disk_25728,2018-08-12,4,1disk_25728
A,1,disk_28986,2018-08-05,0,1disk_28986
A,1,disk_29699,2018-08-28,1,1disk_29699
A,1,disk_34701,2018-08-06,4,1disk_34701
A,1,disk_41379,2018-08-11,1,1disk_41379
A,1,disk_43749,2018-08-29,0,1disk_43749
A,1,disk_4596,2018-08-25,3,1disk_4596
A,1,disk_53565,2018-08-28,6,1disk_53565
A,1,disk_63800,2018-08-30,1,1disk_63800
A,1,disk_65573,2018-08-10,2,1disk_65573
A,1,disk_68176,2018-08-13,4,1disk_68176
A,1,disk_68442,2018-08-08,1,1disk_68442
A,1,disk_68646,2018-08-15,3,1disk_68646
A,2,disk_119482,2018-08-19,0,2disk_119482
A,2,disk_126659,2018-08-18,4,2disk_126659
A,1,disk_65528,2018-08-11,6,1disk_65528
A,1,disk_65878,2018-08-02,0,1disk_65878
A,1,disk_65924,2018-08-09,0,1disk_65924
A,1,disk_91554,2018-08-10,6,1disk_91554
A,2,disk_1110,2018-08-13,2,2disk_1110
A,2,disk_119900,2018-08-04,4,2disk_119900
A,2,disk_122701,2018-08-07,3,2disk_122701
A,2,disk_13127,2018-08-09,1,2disk_13127
A,2,disk_131668,2018-08-15,0,2disk_131668
A,2,disk_131766,2018-08-26,0,2disk_131766
A,2,disk_132194,2018-08-14,4,2disk_132194
A,2,disk_13276,2018-08-02,4,2disk_13276
A,2,disk_134949,2018-08-10,0,2disk_134949
A,2,disk_140168,2018-08-24,6,2disk_140168
A,2,disk_14142,2018-08-10,1,2disk_14142
A,2,disk_19456,2018-08-27,1,2disk_19456
A,2,disk_29463,2018-08-29,6,2disk_29463
A,2,disk_54612,2018-08-15,1,2disk_54612
A,2,disk_60407,2018-08-07,4,2disk_60407
A,2,disk_70434,2018-08-17,2,2disk_70434
A,2,disk_74139,2018-08-24,0,2disk_74139
A,2,disk_8615,2018-08-31,6,2disk_8615
A,2,disk_8739,2018-08-22,4,2disk_8739
A,2,disk_92589,2018-08-26,4,2disk_92589
A,1,disk_103456,2018-08-13,2,1disk_103456
A,1,disk_107639,2018-08-23,0,1disk_107639
A,1,disk_108270,2018-08-16,2,1disk_108270
A,1,disk_108908,2018-08-06,1,1disk_108908
A,1,disk_139788,2018-08-21,6,1disk_139788
A,1,disk_142058,2018-08-28,2,1disk_142058
A,1,disk_14413,2018-08-08,3,1disk_14413
A,1,disk_19026,2018-08-16,0,1disk_19026
A,1,disk_19218,2018-08-02,0,1disk_19218
A,1,disk_19466,2018-08-08,1,1disk_19466
A,1,disk_20398,2018-08-30,0,1disk_20398
A,1,disk_22605,2018-08-06,0,1disk_22605
A,1,disk_34196,2018-08-23,1,1disk_34196
A,1,disk_40759,2018-08-21,6,1disk_40759
A,1,disk_52719,2018-08-26,0,1disk_52719
A,1,disk_60660,2018-08-13,6,1disk_60660
A,1,disk_65878,2018-08-02,6,1disk_65878
A,1,disk_82670,2018-08-20,6,1disk_82670
A,1,disk_92350,2018-08-24,0,1disk_92350
A,1,disk_92403,2018-08-06,4,1disk_92403
A,1,disk_99123,2018-08-28,5,1disk_99123
A,2,disk_123672,2018-08-06,4,2disk_123672
A,2,disk_123979,2018-08-19,5,2disk_123979
A,2,disk_125154,2018-08-24,4,2disk_125154
A,2,disk_134146,2018-08-19,5,2disk_134146
A,2,disk_134847,2018-08-06,1,2disk_134847
A,2,disk_15396,2018-08-18,3,2disk_15396
A,2,disk_29634,2018-08-15,6,2disk_29634
A,2,disk_48786,2018-08-29,4,2disk_48786
A,2,disk_5221,2018-08-18,0,2disk_5221
A,2,disk_52933,2018-08-13,4,2disk_52933
A,2,disk_56104,2018-08-25,2,2disk_56104
A,2,disk_57944,2018-08-24,4,2disk_57944
A,2,disk_78474,2018-08-15,2,2disk_78474
A,2,disk_8661,2018-08-31,6,2disk_8661
A,2,disk_143194,2018-08-27,0,2disk_143194
A,2,disk_2250,2018-08-13,1,2disk_2250
A,2,disk_32926,2018-08-07,1,2disk_32926
A,2,disk_45975,2018-08-24,2,2disk_45975
A,2,disk_53118,2018-08-16,2,2disk_53118
A,2,disk_53990,2018-08-29,1,2disk_53990
A,2,disk_54308,2018-08-01,6,2disk_54308
A,2,disk_60500,2018-08-31,0,2disk_60500
A,2,disk_66009,2018-08-14,4,2disk_66009
A,2,disk_80737,2018-08-03,5,2disk_80737
A,2,disk_8120,2018-08-06,4,2disk_8120
A,2,disk_89315,2018-08-03,1,2disk_89315
A,2,disk_91273,2018-08-13,1,2disk_91273
A,2,disk_942,2018-08-01,4,2disk_942
A,2,disk_96047,2018-08-16,4,2disk_96047
A,1,disk_100606,2018-08-15,4,1disk_100606
A,1,disk_108908,2018-08-06,0,1disk_108908
A,1,disk_108908,2018-08-06,6,1disk_108908
A,1,disk_114819,2018-08-01,0,1disk_114819
A,1,disk_122611,2018-08-07,0,1disk_122611
A,1,disk_127472,2018-08-22,1,1disk_127472
A,1,disk_130345,2018-08-16,2,1disk_130345
A,1,disk_14766,2018-08-22,6,1disk_14766
A,1,disk_18478,2018-08-23,3,1disk_18478
A,1,disk_33031,2018-08-01,0,1disk_33031
A,1,disk_33031,2018-08-01,6,1disk_33031
A,1,disk_6744,2018-08-28,6,1disk_6744
A,1,disk_73592,2018-08-20,4,1disk_73592
A,2,disk_106,2018-08-20,0,2disk_106
A,2,disk_11182,2018-08-09,5,2disk_11182
A,2,disk_12747,2018-08-06,0,2disk_12747
A,2,disk_24325,2018-08-23,1,2disk_24325
A,2,disk_2446,2018-08-23,0,2disk_2446
A,2,disk_45685,2018-08-04,3,2disk_45685
A,2,disk_47575,2018-08-19,1,2disk_47575
A,2,disk_58778,2018-08-22,1,2disk_58778
A,2,disk_59599,2018-08-23,0,2disk_59599
A,2,disk_66985,2018-08-14,0,2disk_66985
A,2,disk_74017,2018-08-13,3,2disk_74017
A,2,disk_80274,2018-08-31,0,2disk_80274
A,2,disk_83434,2018-08-18,2,2disk_83434
A,2,disk_89868,2018-08-28,0,2disk_89868
A,2,disk_9980,2018-08-30,4,2disk_9980
A,1,disk_115606,2018-08-05,6,1disk_115606
A,1,disk_121002,2018-08-17,4,1disk_121002
A,1,disk_127449,2018-08-24,4,1disk_127449
A,1,disk_13268,2018-08-17,1,1disk_13268
A,1,disk_137177,2018-08-15,0,1disk_137177
A,1,disk_143399,2018-08-16,2,1disk_143399
A,1,disk_24497,2018-08-24,0,1disk_24497
A,1,disk_25723,2018-08-25,2,1disk_25723
A,1,disk_28986,2018-08-05,6,1disk_28986
